2020-04-19 18:04:987 INFO  OpenAccountPage :33 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //select[@id='userSelect']]
2020-04-19 18:04:284 INFO  OpenAccountPage :39 - selecting currency : Pound[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //select[@id='currency']]
2020-04-19 18:04:664 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:827 INFO  HomePage :42 - clicking on customer login button : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-19 18:04:214 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> id: userSelect]
2020-04-19 18:04:367 INFO  CustomerLoginPage :38 - clicking on  login button : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:753 INFO  AccountPage :45 - clicking on logout button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn logout']'
2020-04-19 18:04:980 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:210 INFO  HomePage :42 - clicking on customer login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-19 18:04:442 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> id: userSelect]
2020-04-19 18:04:681 INFO  CustomerLoginPage :38 - clicking on  login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-19 18:04:838 INFO  AccountPage :66 - clicking on deposit tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-19 18:04:569 INFO  AccountPage :78 - entering amount in the amount field : 100[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //input[@placeholder='amount']]
2020-04-19 18:04:727 INFO  AccountPage :84 - clicking on depositwithdrawl button [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:766 INFO  AccountPage :89 - Getting error message : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //span[@class='error ng-binding']]
2020-04-19 18:04:973 INFO  AccountPage :96 - clicking on home button tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:182 INFO  HomePage :42 - clicking on customer login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-19 18:04:454 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> id: userSelect]
2020-04-19 18:04:679 INFO  CustomerLoginPage :38 - clicking on  login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-19 18:04:860 INFO  AccountPage :72 - clicking on withdrawl tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[contains(text(),'Withdrawl')]]
2020-04-19 18:04:504 INFO  AccountPage :78 - entering amount in the amount field : 50[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //input[@placeholder='amount']]
2020-04-19 18:04:653 INFO  AccountPage :84 - clicking on depositwithdrawl button [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:689 INFO  AccountPage :89 - Getting error message : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //span[@class='error ng-binding']]
2020-04-19 18:04:891 INFO  AccountPage :96 - clicking on home button tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:131 INFO  HomePage :51 - clicking on bank manager login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-19 18:04:318 INFO  BankManagerLoginPage :51 - clicking on customer tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-19 18:04:16 INFO  CustomerPage :30 - search customer Tiger[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-19 18:04:193 INFO  CustomerPage :36 - clicking on delete customer tab :Proxy element for: DefaultElementLocator 'By.xpath: //tr[@class='ng-scope']//td//button'
2020-04-19 18:04:542 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-19 18:04:529 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-19 18:04:199 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-19 18:04:543 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-19 18:04:39 INFO  AddCustomerPage :38 - entering firstname on firstname field : Tiger[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //input[@placeholder='First Name']]
2020-04-19 18:04:309 INFO  AddCustomerPage :45 - entering lastname on lastname field : Foster[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //input[@placeholder='Last Name']]
2020-04-19 18:04:555 INFO  AddCustomerPage :51 - entering postcode on postcode field : HA2 6JT[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //input[@placeholder='Post Code']]
2020-04-19 18:04:996 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:234 INFO  HomePage :51 - clicking on bank manager login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-19 18:04:373 INFO  BankManagerLoginPage :45 - clicking on open account tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[contains(text(),'Open Account')]]
